Participants,I say sorry when I have done something wrong,It is easy for me to talk about my feelings,I know what I am not good at,Teachers lie and say I have done something wrong,I am good at lining up,Other people make me fight,Teachers tell me I am disturbing the class,I feel sad,I feel worried,I like to talk in front of people,I like to listen to other people's ideas,It is important to respect all cultures,I want to understand how other people feel,"If someone is sad, I will try to help them if I can",I have one good friend or more,I like to be with grown-ups than with people my age,Other people my age like me,Other people my age say I am kind,I follow the rules even when no one is watching,I hand in my homework on time,I think before I do something,I study before a test
1,4,4,5,5,5,5,5,4,4,3,3,5,4,4,4,4,3,3,4,3,5,4
2,4,3,5,1,3,3,3,5,3,5,5,5,5,4,5,3,5,4,2,5,3,5
3,4,2,3,4,5,4,4,3,4,2,3,4,3,3,3,3,3,3,3,4,3,3
4,5,3,5,4,3,2,3,4,3,4,3,5,4,5,5,2,4,3,5,4,4,5
5,4,4,3,4,4,5,3,4,4,2,5,5,4,5,5,4,5,4,4,3,4,5
6,5,3,4,1,4,5,5,5,4,3,3,5,3,5,5,4,4,5,5,4,3,3
7,5,2,4,2,3,4,1,2,2,1,3,3,3,5,5,4,4,3,3,4,3,5
8,5,4,4,5,4,5,5,3,3,3,4,5,3,5,4,2,5,4,5,5,4,5
9,5,4,5,4,5,5,5,4,2,3,5,5,5,4,5,3,5,5,5,5,5,4
10,5,3,4,3,4,3,3,4,4,5,3,5,5,5,5,4,4,3,4,4,2,4
11,5,2,5,3,3,5,5,3,5,5,5,5,5,5,5,5,4,3,4,3,3,5
12,5,5,2,5,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,3,4,5
13,5,3,3,3,5,5,4,4,5,3,5,5,3,5,5,5,3,1,5,5,5,5
14,5,3,3,5,5,5,5,3,5,1,5,5,5,5,5,5,4,5,5,5,4,5
15,5,2,4,5,4,3,5,1,4,4,4,5,4,5,5,3,1,3,4,3,3,4
16,4,3,4,2,3,3,4,4,5,5,3,5,4,4,5,4,5,3,4,3,3,5
17,5,5,5,5,5,5,5,2,5,5,5,5,3,5,5,3,5,5,5,3,5,5
18,5,5,5,5,4,5,4,5,2,1,5,5,5,5,5,3,5,4,5,5,5,5
19,5,4,5,5,4,4,5,4,5,3,5,5,4,5,5,5,5,2,5,4,5,3
20,5,4,2,4,4,5,4,5,5,2,4,5,4,5,3,2,4,4,5,4,5,3
21,4,4,2,2,3,4,2,4,4,3,3,5,3,3,5,4,4,1,1,4,3,4
22,5,5,5,3,3,5,3,5,5,4,5,5,4,4,5,3,5,5,5,1,5,5
23,5,4,5,4,5,5,5,4,4,4,5,5,4,5,5,3,5,5,5,4,5,5
24,5,1,5,5,5,5,5,3,3,2,5,5,5,5,4,5,4,3,3,4,3,5
25,4,3,3,3,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,3,4,4
26,5,5,4,5,5,5,5,3,3,5,5,5,5,5,5,3,5,5,5,4,5,5
27,5,3,5,5,4,5,5,3,3,3,5,5,4,5,5,3,5,4,5,4,4,5
28,4,4,4,5,5,4,5,5,4,4,4,5,3,4,4,4,4,4,5,5,4,5
29,2,1,1,2,5,5,5,1,1,4,2,4,1,3,3,1,5,5,4,4,2,5
30,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5
31,4,5,5,1,5,5,1,3,2,5,5,5,5,4,5,5,5,4,5,4,4,5
32,4,3,4,4,3,4,3,4,5,5,4,4,4,4,5,4,5,4,3,3,3,4
33,5,3,3,5,5,5,5,3,2,1,4,5,5,5,5,3,5,5,5,4,5,4
34,3,4,4,1,3,3,4,4,2,4,2,3,1,3,5,5,4,4,3,4,3,5
35,4,3,5,3,2,3,2,2,4,3,4,4,5,3,2,3,2,2,3,4,2,5
36,5,3,5,3,4,4,3,3,3,2,4,5,5,5,5,4,3,2,3,4,4,3
37,5,3,4,5,5,5,5,4,4,3,4,5,4,5,5,4,4,5,4,4,5,5
38,3,4,4,5,3,4,4,4,5,2,5,5,4,5,5,4,5,5,4,4,5,5
39,5,5,3,5,5,4,4,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5
40,4,5,4,3,4,5,4,5,5,4,5,5,5,5,5,2,4,4,4,4,5,5
41,5,4,4,3,5,3,5,2,5,4,5,5,3,5,5,1,4,5,5,4,5,5
42,5,4,5,4,4,5,4,4,5,3,4,5,4,5,5,4,4,3,4,4,5,5
43,5,5,4,4,3,3,4,4,5,3,3,5,3,4,5,5,4,3,5,4,4,4
44,5,5,5,5,3,5,3,4,5,5,5,5,5,5,5,3,4,3,4,4,4,3
45,4,5,5,4,5,3,4,5,5,5,3,5,5,5,5,5,5,4,5,4,4,5
46,5,2,4,3,4,2,4,2,3,3,5,5,3,4,5,3,3,3,4,5,3,5
47,4,2,5,3,4,4,4,4,4,4,4,5,3,3,5,3,5,4,4,4,5,4
48,5,2,5,2,4,5,1,2,3,3,4,5,3,4,3,2,1,2,5,3,3,4
49,4,4,5,4,3,4,4,5,5,3,4,5,4,4,5,5,4,4,4,2,3,2
50,5,3,5,5,4,4,5,5,5,4,5,5,5,5,5,3,5,5,5,4,4,5
51,4,4,3,3,4,3,4,4,4,3,3,4,2,4,4,4,4,4,4,5,4,5
52,5,3,5,5,4,2,5,2,3,3,3,5,5,5,2,4,1,2,3,4,4,5
53,5,3,3,5,4,3,4,5,5,2,4,4,3,5,5,5,4,4,4,4,4,4
54,4,1,5,3,4,3,3,4,3,1,4,5,4,4,5,4,5,4,4,3,4,3
55,5,3,3,2,5,4,2,2,4,4,4,3,4,4,5,4,4,5,5,4,4,2
56,4,4,4,4,5,5,4,4,5,4,4,5,5,5,1,2,3,4,5,3,5,5
57,4,5,4,3,4,4,3,5,4,5,4,5,3,4,5,4,4,4,4,4,4,3
